time,level
12:29:39 AM,9.63
12:59:40 AM,9.04
1:29:40 AM,8.73
1:59:40 AM,8.61
2:29:40 AM,8.74
2:59:40 AM,8.69
3:29:40 AM,9.17
3:59:41 AM,8.45
4:29:41 AM,7.79
4:59:41 AM,8.12
5:29:41 AM,9.47
5:59:41 AM,11.6
6:29:41 AM,16.22
6:59:41 AM,19.53
7:29:41 AM,21.11
7:59:41 AM,23.23
8:29:41 AM,24.5
8:59:41 AM,25.95
9:29:41 AM,26.93
9:59:41 AM,27.35
10:29:41 AM,28.25
10:59:41 AM,29.11
11:29:41 AM,29.15
11:59:41 AM,27.37
12:29:41 PM,24.57
12:59:41 PM,27.16
1:29:41 PM,29.39
1:59:41 PM,30.61
2:28:41 PM,31.39
2:59:41 PM,31.45
3:29:41 PM,31.38
3:59:41 PM,32.07
4:29:41 PM,32.71
4:59:42 PM,34.13
5:28:42 PM,35.64
5:58:42 PM,36.58
6:29:42 PM,35.86
6:59:42 PM,35.3
7:29:42 PM,34.36
7:59:42 PM,32.26
8:29:42 PM,30.57
8:58:41 PM,28.39
9:28:41 PM,26.13
9:58:41 PM,23.73
10:28:41 PM,20.74
10:58:41 PM,17.75
11:28:42 PM,13.8
11:58:42 PM,11.9
