Day,Time ,Presentase
Monday,6:00,
Monday,7:00,
Monday,8:00,
Monday,9:00,
Monday,10:00,
Monday,11:00,
Monday,12:00,
Monday,13:00,
Monday,14:00,
Monday,15:00,
Monday,16:00,
Monday,17:00,
Monday,18:00,
Monday,19:00,
Monday,20:00,
Monday,21:00,
Monday,22:00,
Monday,23:00,
Monday,0:00,
Monday,1:00,
Monday,2:00,
Monday,3:00,
Monday,4:00,
Monday,5:00,
Tuesday ,6:00,
Tuesday ,7:00,
Tuesday ,8:00,
Tuesday ,9:00,
Tuesday ,10:00,
Tuesday ,11:00,
Tuesday ,12:00,
Tuesday ,13:00,
Tuesday ,14:00,
Tuesday ,15:00,
Tuesday ,16:00,
Tuesday ,17:00,
Tuesday ,18:00,
Tuesday ,19:00,
Tuesday ,20:00,
Tuesday ,21:00,
Tuesday ,22:00,
Tuesday ,23:00,
Tuesday ,0:00,
Tuesday ,1:00,
Tuesday ,2:00,
Tuesday ,3:00,
Tuesday ,4:00,
Tuesday ,5:00,
Wednesday ,6:00,
Wednesday ,7:00,
Wednesday ,8:00,
Wednesday ,9:00,
Wednesday ,10:00,
Wednesday ,11:00,
Wednesday ,12:00,
Wednesday ,13:00,
Wednesday ,14:00,
Wednesday ,15:00,
Wednesday ,16:00,
Wednesday ,17:00,
Wednesday ,18:00,
Wednesday ,19:00,
Wednesday ,20:00,
Wednesday ,21:00,
Wednesday ,22:00,
Wednesday ,23:00,
Wednesday ,0:00,
Wednesday ,1:00,
Wednesday ,2:00,
Wednesday ,3:00,
Wednesday ,4:00,
Wednesday ,5:00,
Thusday,6:00,
Thusday,7:00,
Thusday,8:00,
Thusday,9:00,
Thusday,10:00,
Thusday,11:00,
Thusday,12:00,
Thusday,13:00,
Thusday,14:00,
Thusday,15:00,
Thusday,16:00,
Thusday,17:00,
Thusday,18:00,
Thusday,19:00,
Thusday,20:00,
Thusday,21:00,
Thusday,22:00,
Thusday,23:00,
Thusday,0:00,
Thusday,1:00,
Thusday,2:00,
Thusday,3:00,
Thusday,4:00,
Thusday,5:00,
Friday ,6:00,
Friday ,7:00,
Friday ,8:00,
Friday ,9:00,
Friday ,10:00,
Friday ,11:00,
Friday ,12:00,
Friday ,13:00,
Friday ,14:00,
Friday ,15:00,
Friday ,16:00,
Friday ,17:00,
Friday ,18:00,
Friday ,19:00,
Friday ,20:00,
Friday ,21:00,
Friday ,22:00,
Friday ,23:00,
Friday ,0:00,
Friday ,1:00,
Friday ,2:00,
Friday ,3:00,
Friday ,4:00,
Friday ,5:00,
Saturday,6:00,
Saturday,7:00,
Saturday,8:00,
Saturday,9:00,
Saturday,10:00,
Saturday,11:00,
Saturday,12:00,
Saturday,13:00,
Saturday,14:00,
Saturday,15:00,
Saturday,16:00,
Saturday,17:00,
Saturday,18:00,
Saturday,19:00,
Saturday,20:00,
Saturday,21:00,
Saturday,22:00,
Saturday,23:00,
Saturday,0:00,
Saturday,1:00,
Saturday,2:00,
Saturday,3:00,
Saturday,4:00,
Saturday,5:00,
Sunday,6:00,
Sunday,7:00,
Sunday,8:00,
Sunday,9:00,
Sunday,10:00,
Sunday,11:00,
Sunday,12:00,
Sunday,13:00,
Sunday,14:00,
Sunday,15:00,
Sunday,16:00,
Sunday,17:00,
Sunday,18:00,
Sunday,19:00,
Sunday,20:00,
Sunday,21:00,
Sunday,22:00,
Sunday,23:00,
Sunday,0:00,
Sunday,1:00,
Sunday,2:00,
Sunday,3:00,
Sunday,4:00,
Sunday,5:00,
